species,site,sum,mean
Chromis_insolata,N_Rock,0.182,0.181818182
Paranthia_furcifer,N_Rock,0.121,0.121212121
Chaetodon_sedentarius,N_Rock,0.061,0.060606061
Sparisoma_aurofrenatum,N_Rock,0.000,0
Coryphopterus_sp,N_Rock,0.061,0.060606061
Canthigaster_rostrata,N_Rock,0.000,0
Halichoeres_garnoti,N_Rock,0.121,0.121212121
Centropyge_argi,N_Rock,0.000,0
Apogon_sp,N_Rock,0.000,0
Bodianus_pulchellus,N_Rock,0.000,0
Scarus_taeniopterus,N_Rock,0.030,0.03030303
Cephalopholis_fulva,N_Rock,0.091,0.090909091
Rypticus_saponaceus,N_Rock,0.000,0
Stegastes_variabilis,N_Rock,0.000,0
Haemulon_flavolineatum,N_Rock,0.000,0
Hemipteronotus_sp,N_Rock,0.000,0
Melichthys_niger,N_Rock,0.000,0
Holocanthus_tricolor,N_Rock,0.030,0.03030303
Chromis_cyanea,N_Rock,0.000,0
Sphoeroides_spengleri,N_Rock,0.000,0
Bodianus_rufus,N_Rock,0.000,0
Halichoeres_radiatus,N_Rock,0.000,0
Acanthurus_chirurgus,N_Rock,0.000,0
Stegastes_partitus,N_Rock,0.000,0
Chaetodon_ocellatus,N_Rock,0.000,0
Gymnothorax_funerbris,N_Rock,0.000,0
Thalossoma_bifasciatum,N_Rock,0.000,0
Chromis_bermudae,Tuckers,0.000,0
Chromis_insolata,Tuckers,0.000,0
Paranthia_furcifer,Tuckers,0.333,0.269230769
Chaetodon_sedentarius,Tuckers,0.000,0
Sparisoma_aurofrenatum,Tuckers,0.048,0.038461538
Coryphopterus_sp,Tuckers,0.190,0.153846154
Canthigaster_rostrata,Tuckers,0.143,0.115384615
Halichoeres_garnoti,Tuckers,0.000,0
Centropyge_argi,Tuckers,0.000,0
Apogon_sp,Tuckers,0.000,0
Bodianus_pulchellus,Tuckers,0.000,0
Scarus_taeniopterus,Tuckers,0.000,0
Cephalopholis_fulva,Tuckers,0.000,0
Rypticus_saponaceus,Tuckers,0.095,0.076923077
Stegastes_variabilis,Tuckers,0.048,0.038461538
Haemulon_flavolineatum,Tuckers,0.000,0
Hemipteronotus_sp,Tuckers,0.095,0.076923077
Melichthys_niger,Tuckers,0.000,0
Holocanthus_tricolor,Tuckers,0.000,0
Chromis_cyanea,Tuckers,0.000,0
Sphoeroides_spengleri,Tuckers,0.048,0.038461538
Bodianus_rufus,Tuckers,0.000,0
Halichoeres_radiatus,Tuckers,0.000,0
Acanthurus_chirurgus,Tuckers,0.000,0
Stegastes_partitus,Tuckers,0.000,0
Chaetodon_ocellatus,Tuckers,0.000,0
Gymnothorax_funerbris,Tuckers,0.000,0
Thalossoma_bifasciatum,Tuckers,0.000,0
